Pavarde         Vardas         Galutinis (Vid.)  Galutinis (Med.)
-----------------------------------------------------------------
Pavarde1011695  Vardas6746702  6.33              6.20              
Pavarde1012953  Vardas5567385  7.96              7.60              
Pavarde1014541  Vardas2373477  7.09              7.00              
Pavarde1020650  Vardas2997545  6.68              7.00              
Pavarde1037882  Vardas8100241  7.20              6.60              
Pavarde1055092  Vardas365439   7.40              7.40              
Pavarde1059500  Vardas7162137  8.27              8.40              
Pavarde1066216  Vardas5158585  8.26              8.00              
Pavarde1085919  Vardas2272749  4.80              5.00              
Pavarde1106407  Vardas5982122  7.56              7.00              
Pavarde1114011  Vardas7950292  6.88              7.20              
Pavarde113948   Vardas4859113  5.09              5.80              
Pavarde1146859  Vardas4988915  5.05              5.00              
Pavarde1162898  Vardas9735349  8.51              8.40              
Pavarde1182987  Vardas3746628  5.54              5.80              
Pavarde1194623  Vardas3304153  9.60              9.60              
Pavarde119699   Vardas9177046  6.47              6.60              
Pavarde119778   Vardas3242215  7.20              7.20              
Pavarde1200871  Vardas4982414  6.84              6.80              
Pavarde1210148  Vardas6012366  7.37              7.40              
Pavarde122469   Vardas371527   7.87              7.60              
Pavarde1226859  Vardas1095319  8.22              8.40              
Pavarde1245709  Vardas6623086  5.08              5.00              
Pavarde1249091  Vardas1575853  7.58              8.20              
Pavarde1252458  Vardas5805156  6.18              6.00              
Pavarde1258386  Vardas4079637  7.27              6.60              
Pavarde1258845  Vardas6333525  6.04              5.80              
Pavarde1259106  Vardas1432534  7.53              7.20              
Pavarde1281672  Vardas7470855  6.47              6.60              
Pavarde1283387  Vardas5928828  8.53              8.60              
Pavarde1300696  Vardas5090320  8.11              8.40              
Pavarde1311897  Vardas8229651  7.60              7.60              
Pavarde1352096  Vardas4629606  5.62              5.00              
Pavarde1382934  Vardas1527788  6.36              6.00              
Pavarde138505   Vardas8856021  5.40              5.40              
Pavarde1389454  Vardas9327098  8.83              8.80              
Pavarde1391653  Vardas9382682  7.43              7.40              
Pavarde1393977  Vardas2986057  7.65              7.80              
Pavarde1405527  Vardas239741   8.88              9.00              
Pavarde1418112  Vardas1947751  6.24              6.20              
Pavarde1425239  Vardas7640308  6.60              6.40              
Pavarde1433368  Vardas4069080  4.84              5.20              
Pavarde1453057  Vardas6833412  5.67              5.80              
Pavarde1472719  Vardas6336279  8.90              9.20              
Pavarde1512248  Vardas1008710  5.74              6.20              
Pavarde1544116  Vardas4167302  6.46              6.40              
Pavarde154807   Vardas5232437  7.30              7.40              
Pavarde1561672  Vardas5585414  7.00              6.60              
Pavarde1568119  Vardas494052   4.84              5.20              
Pavarde1575119  Vardas2056870  6.67              6.80              
Pavarde1602120  Vardas8476116  7.30              7.20              
Pavarde161571   Vardas3909175  6.45              6.80              
Pavarde1625331  Vardas3755304  5.80              5.60              
Pavarde1658515  Vardas3072346  5.96              5.80              
Pavarde1676823  Vardas8483289  5.12              5.00              
Pavarde1690803  Vardas4861935  7.10              7.00              
Pavarde1693274  Vardas1393866  6.06              5.80              
Pavarde1711252  Vardas6763813  7.35              7.40              
Pavarde1720755  Vardas7169167  7.56              7.40              
Pavarde1729124  Vardas7646705  6.11              6.40              
Pavarde1733179  Vardas341426   6.67              6.80              
Pavarde1747641  Vardas7306932  8.08              7.80              
Pavarde1758334  Vardas2416014  7.53              7.80              
Pavarde1762332  Vardas4058488  8.12              7.80              
Pavarde1771266  Vardas8617023  8.00              8.00              
Pavarde1775921  Vardas9758936  6.40              6.40              
Pavarde179427   Vardas3532087  6.12              6.00              
Pavarde179640   Vardas9480089  8.09              8.00              
Pavarde179827   Vardas3469383  7.46              7.60              
Pavarde1817288  Vardas6762748  4.60              5.00              
Pavarde1824567  Vardas66967    7.73              7.60              
Pavarde1846191  Vardas2105900  8.00              8.00              
Pavarde1870961  Vardas6112131  7.49              6.80              
Pavarde1907707  Vardas6646869  5.45              5.60              
Pavarde192305   Vardas3223897  7.72              8.20              
Pavarde1929639  Vardas3401634  6.02              6.00              
Pavarde1931365  Vardas4522276  7.56              7.60              
Pavarde1943959  Vardas7320561  7.18              7.40              
Pavarde1958411  Vardas1861331  7.00              7.00              
Pavarde1960559  Vardas7087920  6.40              6.00              
Pavarde1972067  Vardas9252786  7.14              7.00              
Pavarde197754   Vardas6544199  7.00              7.00              
Pavarde1979481  Vardas8518246  8.40              8.00              
Pavarde1983686  Vardas2444678  7.12              7.20              
Pavarde1984546  Vardas5245103  4.97              5.00              
Pavarde1999786  Vardas7205488  8.00              8.00              
Pavarde2035315  Vardas3908985  5.89              5.60              
Pavarde2037503  Vardas3883318  7.28              7.40              
Pavarde2046653  Vardas6001890  7.40              7.80              
Pavarde2076901  Vardas149764   5.66              5.60              
Pavarde2168109  Vardas4162121  5.31              5.80              
Pavarde219611   Vardas7397529  8.11              7.60              
Pavarde2222341  Vardas3205923  6.10              6.00              
Pavarde2286036  Vardas7842673  6.33              6.20              
Pavarde2329646  Vardas8127513  5.24              5.80              
Pavarde2351505  Vardas8327124  6.60              6.60              
Pavarde2362848  Vardas8160494  6.16              6.20              
Pavarde2363945  Vardas9488180  7.66              7.80              
Pavarde2367503  Vardas6551465  7.07              6.80              
Pavarde2413517  Vardas5552535  5.25              5.40              
Pavarde2435404  Vardas240258   7.70              8.20              
