Pavarde         Vardas         Galutinis (Vid.)  Galutinis (Med.)
-----------------------------------------------------------------
Pavarde1007766  Vardas4179669  5.05              4.80              
Pavarde1018898  Vardas8057898  2.27              2.00              
Pavarde103080   Vardas3336367  3.90              3.80              
Pavarde1060149  Vardas5480313  2.76              2.80              
Pavarde1069082  Vardas2486491  4.80              4.40              
Pavarde1090240  Vardas292271   3.89              3.60              
Pavarde1096430  Vardas3153526  3.80              3.80              
Pavarde1107245  Vardas7140032  4.27              4.20              
Pavarde1119578  Vardas5698034  2.64              2.60              
Pavarde1142663  Vardas23872    4.58              4.60              
Pavarde1143908  Vardas8488281  3.45              3.60              
Pavarde1145986  Vardas8585092  3.73              4.40              
Pavarde1202332  Vardas7844618  3.71              3.60              
Pavarde1213232  Vardas6608303  3.66              3.20              
Pavarde1230424  Vardas5287155  3.00              3.40              
Pavarde1306382  Vardas9260479  4.00              4.20              
Pavarde1315866  Vardas1494980  4.95              4.60              
Pavarde1401063  Vardas1499411  4.18              3.60              
Pavarde1401744  Vardas883773   3.89              3.80              
Pavarde1407668  Vardas4058810  3.67              4.00              
Pavarde1410210  Vardas1732687  4.60              4.80              
Pavarde1457092  Vardas8149802  4.01              3.80              
Pavarde1473446  Vardas8016148  4.80              4.80              
Pavarde1476768  Vardas5353561  2.80              3.00              
Pavarde1498767  Vardas1750667  3.05              2.40              
Pavarde152169   Vardas6114880  3.60              4.20              
Pavarde1548901  Vardas7312178  2.90              3.20              
Pavarde1613809  Vardas5240065  2.20              2.20              
Pavarde1621241  Vardas517027   3.92              4.00              
Pavarde1670115  Vardas9503149  4.07              3.60              
Pavarde1689868  Vardas213128   4.56              4.40              
Pavarde1709     Vardas456850   3.14              3.20              
Pavarde1773250  Vardas1506396  4.28              4.60              
Pavarde1776785  Vardas1096862  4.45              4.40              
Pavarde1781408  Vardas9142882  3.36              3.20              
Pavarde1782002  Vardas7333131  2.84              3.00              
Pavarde1790169  Vardas4528316  3.90              4.40              
Pavarde1793687  Vardas6603076  2.72              2.40              
Pavarde1796902  Vardas1197597  3.40              3.20              
Pavarde1799403  Vardas6883429  3.46              3.40              
Pavarde181383   Vardas6288389  4.27              4.20              
Pavarde184116   Vardas2021511  3.64              3.40              
Pavarde1886938  Vardas4697610  4.20              4.20              
Pavarde1916181  Vardas1032082  4.70              4.60              
Pavarde194240   Vardas4007211  4.10              4.20              
Pavarde1944351  Vardas5085236  4.43              4.80              
Pavarde1949606  Vardas2677626  3.80              3.80              
Pavarde1952119  Vardas9238198  5.10              4.80              
Pavarde1954188  Vardas9833715  4.60              4.20              
Pavarde1971783  Vardas2217796  2.52              2.60              
Pavarde2016535  Vardas8928054  4.22              4.40              
Pavarde2060009  Vardas184118   3.31              3.40              
Pavarde2067668  Vardas5669914  4.80              4.80              
Pavarde2083068  Vardas656689   3.20              3.20              
Pavarde2086667  Vardas6924237  3.96              3.80              
Pavarde2094954  Vardas1810986  4.84              4.80              
Pavarde2095871  Vardas3111179  4.22              4.20              
Pavarde2176917  Vardas5887405  3.29              3.40              
Pavarde2208423  Vardas6298896  2.92              2.60              
Pavarde2213878  Vardas7366118  4.18              4.60              
Pavarde2218467  Vardas930656   2.48              2.20              
Pavarde22545    Vardas2541644  3.20              3.20              
Pavarde2295097  Vardas801835   4.34              4.60              
Pavarde2295194  Vardas7031787  4.53              4.80              
Pavarde2298712  Vardas3329395  3.67              3.80              
Pavarde2391865  Vardas8353189  3.40              3.80              
Pavarde240123   Vardas2317430  4.36              4.60              
Pavarde2426161  Vardas7668601  4.56              4.20              
Pavarde244518   Vardas7419108  2.20              2.20              
Pavarde2466012  Vardas6395973  4.05              4.40              
Pavarde2470268  Vardas4842856  3.60              4.00              
Pavarde2514038  Vardas7367502  3.70              3.80              
Pavarde2536251  Vardas4510426  4.54              4.60              
Pavarde2540653  Vardas7750306  4.07              4.20              
Pavarde2542101  Vardas7591743  4.64              4.80              
Pavarde2549810  Vardas3831401  4.55              4.40              
Pavarde2573083  Vardas1479032  3.73              3.40              
Pavarde2583689  Vardas8362893  4.40              4.40              
